test_id,guid,test_date,received_date,desktop_device_id,platform,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,isp_name,is_isp,connection_type,location_type,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,postal_code,client_ipv6_address
113949209,"956D546BE7724BD3A1F4239F27743F0F","2019-07-01 00:06:57","2019-07-01 00:07:07","6071182","4","80.113.xxx.xxx",0,0,12,"Groningen","Netherlands","NL",53.2194,6.5665,"Duocast BV","UNKNOWN","","22","1","Netherlands","NL","Friesland","FR","Olterterp",53.066,6.100,22.0493,"","","","","","","","","",""
113949210,"857832D871C34521A4E7C3B7A16B8661","2019-07-01 00:06:33","2019-07-01 00:07:10","929270","5","152.237.xxx.xxx",9615,421,27,"Barra Mansa","Brazil","BR",-22.5439,-44.1708,"TurboNet - Telecom","Oi Internet","1","22","2","Brazil","BR","State of Rio de Janeiro","RJ","Valenca",-22.241,-43.701,36.5728,"Valença - State of Rio de Janeiro, Brazil","Valença","administrative_area_level_2","Brazil","BR","State of Rio de Janeiro","Valença","","27600-000",""
113949211,"AE9ED59291E546EE8E17D60FC2F19014","2019-07-01 00:07:10","2019-07-01 00:07:10","7129613","4","175.176.xxx.xxx",45969,1160,17,"Makati","Philippines","PH",14.5500,121.0300,"PLDT","Smart Broadband","1","22","1","Philippines","PH","Metro Manila","00","Taguig",14.499,121.050,3.75157,"Taguig, Metro Manila, Philippines","Taguig","locality","Philippines","PH","Metro Manila","","","1630",""
113949212,"CCF67DD1E76B4411A9320CE7658C943B","2019-07-01 00:06:34","2019-07-01 00:07:10","7506599","5","81.196.xxx.xxx",289832,177685,3,"Bucharest","Romania","RO",44.4167,26.1000,"LeadHosts","RCS & RDS S.A.","1","2","2","Romania","RO","Bucharest","B","Bucharest",44.433,26.100,1.14834,"Bucharest, Romania","Bucharest","locality","Romania","RO","Bucharest","Bucharest","","",""
113949213,"3C0A8975D0BE45508812D09FC9D5A61E","2019-07-01 00:06:34","2019-07-01 00:07:10","6413455","5","1.46.xxx.xxx",3090,6257,48,"Bangkok","Thailand","TH",13.7500,100.4833,"AWN","DTAC","1","2","2","Thailand","TH","Bangkok","10","Bangkok",13.750,100.516,2.24418,"Bangkok, Thailand","Bangkok","locality","Thailand","TH","","","","10150",""
113949214,"0979F943304448B3B33FE8FCA166435F","2019-07-01 00:07:10","2019-07-01 00:07:10","5951703","4","184.22.xxx.xxx",68880,79722,6,"Bangkok","Thailand","TH",13.7500,100.4833,"Symphony Communication Public Company Limited","AIS Fibre","1","2","2","Thailand","TH","Bangkok","10","Bangkok",13.750,100.516,2.24418,"Bangkok, Thailand","Bangkok","locality","Thailand","TH","","","","10400",""
113949215,"AC5EF59368A3403D940E97E1FE80EC85","2019-07-01 00:06:59","2019-07-01 00:07:12","3286936","4","175.158.xxx.xxx",0,0,4,"Jakarta","Indonesia","ID",-6.1745,106.8227,"JAGAT MEDIA TEKNOLOGI","UNKNOWN","","2","1","Indonesia","ID","Special Capital Region of Jakarta","JK","Cikarang",-6.113,106.778,5.19954,"","","","","","","","","",""
113949216,"4E12706187E54393A3B54F312E448885","2019-07-01 00:06:41","2019-07-01 00:07:12","7297770","5","173.23.xxx.xxx",375686,165948,14,"Muscatine, IA","United States","US",41.4245,-91.0432,"Muscatine Power and Water","Mediacom Cable","1","22","2","United States","US","Iowa","IA","Bettendorf",41.573,-90.458,32.0177,"Bettendorf, IA, USA","Bettendorf","locality","United States","US","Iowa","Scott County","Pleasant Valley","52722",""
113949217,"6E3E205FD4124C12A67DB7556A7C9EDA","2019-07-01 00:06:39","2019-07-01 00:07:15","4817415","5","185.20.xxx.xxx",75530,97633,2,"Lausanne","Switzerland","CH",46.5167,6.6333,"SIL Citycable","VO Energies Multimedia SA","1","2","2","Switzerland","CH","Vaud","VD","Bullet",46.816,6.566,20.9905,"Bullet, Switzerland","Bullet","locality","Switzerland","CH","Vaud","Jura-Nord vaudois District","","1453",""
113949218,"CBB58E6625764846888DB4965CC103AB","2019-07-01 00:06:40","2019-07-01 00:07:15","7395387","5","188.31.xxx.xxx",23456,25940,40,"Sheffield","Great Britain","GB",53.2301,-1.2801,"ASK4","Three","1","22","1","United Kingdom","GB","Windsor and Maidenhead","WNM","Maidenhead",51.516,-0.700,121.02,"SL6, UK","Maidenhead","locality","United Kingdom","GB","England","Windsor and Maidenhead","","SL6",""
113949219,"3097984AAF8C43999736511AF24AAEE8","2019-07-01 00:06:40","2019-07-01 00:07:15","1779728","5","2.83.xxx.xxx",201507,119802,13,"Lisbon","Portugal","PT",38.7000,-9.1833,"MEO","Meo","1","2","1","Portugal","PT","Leiria District","10","Pataias",39.666,-9.000,67.5851,"Pataias, Portugal","Pataias","locality","Portugal","PT","Leiria District","","","2445",""
113949220,"B64D6F46E6404B519934114B560DEC9E","2019-07-01 00:07:15","2019-07-01 00:07:15","","4","133.237.xxx.xxx",25539,19447,3,"Tokyo","Japan","JP",35.6833,139.6833,"i3D.net","Rakuten,Inc.","1","2","2","Japan","JP","Tokyo","13","Setagaya-ku",35.633,139.650,3.93263,"Setagaya, Tokyo, Japan","Setagaya","locality","Japan","JP","Tokyo","","","158-0094",""
113949221,"BBE52B4718D04F0F8394235712F183CC","2019-07-01 00:06:38","2019-07-01 00:07:15","2860502","5","24.18.xxx.xxx",32155,6745,11,"Seattle, WA","United States","US",47.6062,-122.3321,"Accretive Networks","Comcast Cable","1","2","2","United States","US","Washington","WA","Everett",47.946,-122.197,24.3838,"Everett, WA, USA","Everett","locality","United States","US","Washington","Snohomish County","","98208",""
113949223,"3153858D9FDA4B968B47A9584B8E7D77","2019-07-01 00:07:16","2019-07-01 00:07:16","329516","4","223.237.xxx.xxx",2043,252,42,"Tirupati","India","IN",17.3700,78.4800,"Excell Media","BHARTI Airtel","1","2","1","India","IN","Telangana","TG","Hyderabad",17.375,78.474,0.520569,"Hyderabad, Telangana, India","Hyderabad","locality","India","IN","Telangana","","","500079",""
113949224,"F7BD2E4C3384466593F6E85F5B77EFB0","2019-07-01 00:06:46","2019-07-01 00:07:18","7723828","5","81.25.xxx.xxx",12386,15146,1,"Krasnoyarsk","Russian Federation","RU",56.0026,92.8853,"cemka.org","ORIONNET","1","2","2","Russia","RU","Krasnoyarsk Krai","KYA","Krasnoyarsk",56.009,92.791,3.65289,"Krasnoyarsk, Krasnoyarsk Krai, Russia","Krasnoyarsk","locality","Russia","RU","Krasnoyarsk Krai","gorod Krasnoyarsk","","660074",""
113949225,"155E6E0494C9413EAE2D50C76B8B5E29","2019-07-01 00:07:19","2019-07-01 00:07:19","5392466","4","115.188.xxx.xxx",204625,24109,7,"Tauranga","New Zealand","NZ",-37.6833,176.1667,"Enternet Online Ltd","Spark New Zealand","1","22","2","New Zealand","NZ","Bay Of Plenty","BOP","Tauranga",-37.686,176.166,0.193676,"Tauranga, New Zealand","Tauranga","locality","New Zealand","NZ","Bay Of Plenty","Tauranga City","","3110",""
113949226,"E70AE489EFD44F6996EC00E222495BE4","2019-07-01 00:07:19","2019-07-01 00:07:19","7723820","4","171.76.xxx.xxx",12905,6613,40,"Lucknow","India","IN",26.8500,80.9200,"Apex Netcom India Private Limited","Bharti Broadband","1","2","2","India","IN","Uttar Pradesh","UP","Lucknow",26.850,80.916,0.2034,"Lucknow, Uttar Pradesh 226002, India","Lucknow","locality","India","IN","Uttar Pradesh","Lucknow","","226004",""
