test_id,test_date,client_ip_id,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,user_agent,isp_name,is_isp,connection_type,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code
8380424464,"2019-07-01 00:00:08","1306441344","173.239.xxx.xxx",92905,257235,28,"Conroe, TX","United States","US",30.3161,-95.4589,"Suddenlink Communications LLC","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","LogicWeb Inc","0","2","United States","US","Texas","TX","Plano",33.081,-96.813,207.201,"Plano, TX, USA","Plano","locality","United States","US","Texas","Collin County","","75074"
8380424465,"2019-07-01 00:00:08","1067344673","197.245.xxx.xxx",928,114,53,"Midrand","South Africa","ZA",-25.9992,28.1264,"Jenny Internet","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Vox-Telecom","1","2","South Africa","ZA","Gauteng","GT","Chloorkop",-26.041,28.179,4.43847,"Midrand, South Africa","Midrand","locality","South Africa","ZA","Gauteng","City of Johannesburg Metropolitan Municipality","City of Johannesburg Metropolitan Municipality","1688"
8380424466,"2019-07-01 00:00:08","1568579727","188.43.xxx.xxx",21618,20857,8,"Tula","Russian Federation","RU",54.2000,37.6167,"GreenWave","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","Closed Joint Stock Company TransTeleCom","1","2","Russia","RU","Moscow Oblast","MOS","Bogatishchevo",54.664,38.521,48.5372,"Bogatishchevo, Moskovskaya oblast', Russia, 142930","Bogatishchevo","locality","Russia","RU","Moscow Oblast","Kashirsky District","","142930"
8380424467,"2019-07-01 00:00:08","269473962","202.142.xxx.xxx",28108,30736,18,"Kolkata","India","IN",22.5667,88.3667,"Indinet Service Private Limited","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.101 Safari/537.36","Siti Networks","1","2","India","IN","West Bengal","WB","Kolkata",22.569,88.369,0.278137,"Kolkata, West Bengal 700001, India","Kolkata","locality","India","IN","West Bengal","Kolkata","","700009"
8380424468,"2019-07-01 00:00:08","2148114201","90.126.xxx.xxx",321500,266610,10,"Karlsruhe","Germany","DE",49.0092,8.4040,"TelemaxX Telekommunikation GmbH","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134","Orange","1","2","France","FR","Grand Est","GES","Eckbolsheim",48.583,7.683,44.116,"Strasbourg, France","Strasbourg","locality","France","FR","Alsace-Champagne-Ardenne-Lorraine","Bas-Rhin","","67200"
8380424470,"2019-07-01 00:00:08","2090046787","37.232.xxx.xxx",8667,4140,38,"Cheboksary","Russian Federation","RU",56.1333,47.2500,"DOM.RU","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:67.0) Gecko/20100101 Firefox/67.0","Net By Net Holding LLC","1","2","Russia","RU","Chuvashia Republic","CU","Kugesi",56.025,47.299,7.72806,"Cheboksarskiy r-n, Chuvashia, Russia","Cheboksarskiy rayon","administrative_area_level_2","Russia","RU","Chuvashia Republic","Cheboksarskiy rayon","","429500"
8380424471,"2019-07-01 00:00:08","358639963","49.145.xxx.xxx",795,1964,158,"Sorsogon","Philippines","PH",12.7600,123.9304,"DCTV Cable Network & Broadband Services","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Philippine Long Distance Telephone","1","2","Philippines","PH","Eastern Visayas","08","Manajao",12.503,124.954,71.3617,"Pambujan, 6413 Northern Samar, Philippines","Pambujan","locality","Philippines","PH","Eastern Visayas","Northern Samar","",""
8380424473,"2019-07-01 00:00:08","1593886583","185.233.xxx.xxx",7384,3278,26,"Erzincan","Turkey","TR",39.7468,39.4911,"Turksat Kablonet","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Teknobil Telekom","1","2","Turkey","TR","Şanlıurfa Province","63","Siverek",37.750,39.316,138.439,"63600 Güvenli/Siverek/Şanlıurfa, Turkey","Güvenli Köyü","administrative_area_level_3","Turkey","TR","Şanlıurfa Province","Siverek","Güvenli Köyü","63600"
8380424474,"2019-07-01 00:00:09","1623625078","197.221.xxx.xxx",3369,427,283,"Tokyo","Japan","JP",35.6833,139.6833,"OPEN Project (via 20G SINET)","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Telone PVT Ltd","1","2","Zimbabwe","ZW","Mashonaland West","MW","Chegutu",-18.133,30.150,8029.33,"Chegutu, Zimbabwe","Chegutu","administrative_area_level_2","Zimbabwe","ZW","Mashonaland West","Chegutu","",""
8380424475,"2019-07-01 00:00:09","182513890","180.191.xxx.xxx",11704,5978,6,"Manila","Philippines","PH",14.5800,121.0000,"Nowcorporation","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Globe Mobile","1","2","Philippines","PH","Central Luzon","03","Dalandanan",14.706,120.962,9.0641,"Valenzuela, Metro Manila, Philippines","Valenzuela","locality","Philippines","PH","Metro Manila","","",""
8380424476,"2019-07-01 00:00:09","515074132","49.149.xxx.xxx",4033,599,26,"Cagayan de Oro City","Philippines","PH",8.4833,124.6500,"PLDT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134","Philippine Long Distance Telephone","1","2","Philippines","PH","Northern Mindanao","10","Quezon",7.730,125.098,60.4799,"Arakan, Cotabato, Philippines","Arakan","locality","Philippines","PH","Region XII","Cotabato","",""
