test_id,iphone_device_id,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,pre_connection_type,post_connection_type,isp_name,is_isp,network_operator_name,iso_country_code,mcc,mnc,model,version,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,client_ipv6_address,client_latitude_start,client_longitude_start,location_type_start
3319394578,170264151,"2019-07-01 00:01:49","183.171.xxx.xxx",3059,31363,39,"Petaling Jaya","Malaysia","MY",3.0833,101.6500,"Digi Malaysia","Malaysia","MY","Selangor","10","Sepang",2.751,101.705,23.2427,12,12,"Celcom Axiata Berhad","1","Celcom","MY","502","19","iPhone 8 Plus","12.4",1,"Sepang, Selangor, Malaysia","Sepang","locality","Malaysia","MY","Selangor","Sepang","","64000","","2.74950","101.70736",1
3319394580,108232466,"2019-07-01 00:01:50","223.24.xxx.xxx",296,4950,36,"Bangkok","Thailand","TH",13.7500,100.4833,"RMUTP","Thailand","TH","Samut Prakan","11","Samrong",13.633,100.577,10.2587,12,12,"True Internet","1","TRUE-H","TH","520","0","iPhone 6S","12.3.1",1,"Bang Duan, Mueang Samut Prakan District, Samut Prakan, Thailand","Bang Duan","locality","Thailand","TH","Samut Prakan","Mueang Samut Prakan District","","10270","","13.63325","100.57744",1
3319394587,161142770,"2019-07-01 00:01:50","27.247.xxx.xxx",227600,53298,18,"New Taipei","Taiwan","TW",25.0111,121.4458,"KGEX ISP","Taiwan","TW","Taipei City","TPE","Taipei",24.998,121.456,1.1136,12,12,"FarEasTone","1","遠傳電信","TW","466","1","iPhone XS","12.3.1",1,"New Taipei, Banqiao District, New Taipei City, Taiwan","New Taipei","locality","Taiwan","TW","New Taipei City","Luzhou District","","220","","24.99819","121.45641",1
3319394588,169955437,"2019-07-01 00:01:50","80.89.xxx.xxx",31439,13434,18,"Riga","Latvia","LV",56.9496,24.1040,"Telenet, sia","Latvia","LV","Rīgas pilsēta","RIX","Riga",56.975,24.163,2.85614,12,12,"Latvijas Mobilais Telefons SIA","1","LMT","LV","247","1","iPhone 7 Plus","12.4",1,"Riga, Latvia","Riga","locality","Latvia","LV","Rīgas pilsēta","Rīgas pilsēta","","LV-1039","","56.97505","24.16364",1
3319394589,168308623,"2019-07-01 00:01:50","188.162.xxx.xxx",20758,4223,64,"Novaya Usman","Russian Federation","RU",51.6418,39.4086,"LLC Trans Analitika","Russia","RU","Voronezh Oblast","VOR","Buturlinovka",50.808,40.609,77.6664,5,5,"Yota","1","Yota","RU","250","11","iPhone SE","12.3.1",1,"Buturlinovsky District, Voronezh Oblast, Russia","Buturlinovsky District","administrative_area_level_2","Russia","RU","Voronezh Oblast","Buturlinovsky District","","397505","","50.80827","40.60994",1
3319394598,120811663,"2019-07-01 00:01:51","39.8.xxx.xxx",23089,23038,29,"Taipei","Taiwan","TW",25.0333,121.5333,"Taiwan Mobile","Taiwan","TW","Taipei City","TPE","Taipei",25.047,121.531,1.00736,12,12,"FarEasTone","1","遠傳電信","TW","466","1","iPhone 7 Plus","12.3",2,"Taipei, Taipei City, Taiwan","Taipei","locality","Taiwan","TW","Taipei City","","","104","","25.04780","121.53180",2
3319394602,155820966,"2019-07-01 00:01:51","176.11.xxx.xxx",17352,7674,43,"Sandefjord","Norway","NO",59.1383,10.1723,"Speedtest.net","Norway","NO","Oslo","03","Oslo",59.845,10.782,53.4134,12,12,"Telia Norge As","1","Telia N","NO","242","2","iPhone 6S","12.3.1",2,"Nordstrand, Oslo, Norway","Nordstrand","sublocality_level_1","Norway","NO","Oslo","Oslo","","1168","","59.84570","10.78230",2
3319394606,112262789,"2019-07-01 00:01:52","106.204.xxx.xxx",11210,1295,28,"New Delhi","India","IN",28.6100,77.2300,"Bharti Airtel Ltd","India","IN","Haryana","HR","Ambala",30.344,76.827,122.371,12,12,"BHARTI Airtel","1","AirTel","IN","404","96","iPhone 6","12.3.1",1,"Ambala Sadar, Haryana, India","Ambala Sadar","locality","India","IN","Haryana","Ambala","","133001","","30.34401","76.82711",1
3319394609,163131631,"2019-07-01 00:01:52","112.200.xxx.xxx",1085,789,244,"Mandaluyong","Philippines","PH",14.5800,121.0000,"SkyBroadband","Philippines","PH","Central Luzon","03","Balanga",14.676,120.530,32.1545,12,12,"Philippine Long Distance Telephone","1","Globe","PH","515","2","iPhone X","12.3.1",1,"City of Balanga, Bataan, Philippines","City of Balanga","locality","Philippines","PH","Central Luzon","Bataan","","","","14.67624","120.53091",1
3319394612,116174013,"2019-07-01 00:01:52","217.66.xxx.xxx",18458,6991,23,"Sertolovo","Russian Federation","RU",60.1444,30.1938,"X-Trim Ltd","Russia","RU","St Petersburg","SPE","Beloostrov",60.140,30.037,5.38589,12,12,"MTS PJSC","1","Mobile TeleSystems","RU","250","1","iPhone 7 Plus","12.3.1",1,"Vsevolozhsky District, Leningrad Oblast, Russia","Vsevolozhsky District","administrative_area_level_2","Russia","RU","Leningrad Oblast","Vsevolozhsky District","","197730","","60.14025","30.03762",1
3319394626,144602877,"2019-07-01 00:01:53","115.164.xxx.xxx",45290,20136,49,"Petaling Jaya","Malaysia","MY",3.0833,101.6500,"Digi Malaysia","Malaysia","MY","Sabah","12","Putatan",5.882,116.059,1012.26,12,12,"DIGI","1","DiGi","MY","502","16","iPad4","10.3.3",1,"89500 Putatan, Sabah, Malaysia","Putatan","locality","Malaysia","MY","Sabah","","","89500","","","",0
3319394628,170649094,"2019-07-01 00:01:53","112.97.xxx.xxx",192,18890,43,"Hong Kong","China","HK",22.2500,114.1667,"STC","China","CN","Guangdong","GD","Huizhou",23.043,114.261,55.2198,12,12,"China Unicom Guangdong province","1","中国联通","CN","460","1","iPhone XR","13.0",1,"Huizhou, Guangdong, China","Huizhou","locality","China","CN","Guangdong","","","","","23.04349","114.26168",1
3319394629,156620185,"2019-07-01 00:01:54","182.232.xxx.xxx",60445,9015,36,"Ayutthaya","TH","TH",14.3692,100.5877,"AIS","Thailand","TH","Uthai Thani","61","Nong Chang",15.357,99.880,83.1544,12,12,"AIS Mobile","1","AIS","TH","520","3","iPhone XS Max","12.3.1",1,"Nong Nang Nuan, Nong Chang District, Uthai Thani, Thailand","Nong Nang Nuan","locality","Thailand","TH","Uthai Thani","Nong Chang District","","61110","2001:44c8:4248:e91x:xxxx:xxxx:xxxx:xxxx","15.35791","99.88016",1
3319394630,170654430,"2019-07-01 00:01:54","223.138.xxx.xxx",5066,4045,19,"Taichung","Taiwan","TW",24.1500,120.6667,"Asia University, Taiwan","Taiwan","TW","Taichung City","TXG","Hengzhenzhuang",24.369,120.593,15.8907,12,12,"Chunghwa Telecom","1","中華電信","TW","466","92","iPad Air 2","13.0",1,"439, Taiwan, 台中市大安區西安里","西安里","administrative_area_level_4","Taiwan","TW","Taichung City","Da'an District","西安里","439","","24.36974","120.59319",1
